Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Hispanic,2014,61517,31744.0,Cayuga County, NY
Hispanic,2014,28807,16182.0,Chautauqua County, NY
Hispanic,2014,16622,5799.0,Clinton County, NY
Hispanic,2014,58183,10304.0,Dutchess County, NY
Hispanic,2014,25186,3185.0,Erie County, NY
Hispanic,2014,34781,3924.0,Jefferson County, NY
Hispanic,2014,36396,1047.0,Kings County, NY
Hispanic,2014,45823,38308.0,Livingston County, NY
Hispanic,2014,250001,,Madison County, NY
Hispanic,2014,31406,5735.0,Monroe County, NY
Hispanic,2014,75920,8621.0,Nassau County, NY
Hispanic,2014,34893,2980.0,New York County, NY
Hispanic,2014,40752,15696.0,Niagara County, NY
Hispanic,2014,21085,1719.0,Oneida County, NY
Hispanic,2014,26458,13270.0,Onondaga County, NY
Hispanic,2014,41228,15651.0,Ontario County, NY
Hispanic,2014,54953,7975.0,Orange County, NY
Hispanic,2014,65263,30310.0,Putnam County, NY
Hispanic,2014,49676,2449.0,Queens County, NY
Hispanic,2014,34315,14093.0,Rensselaer County, NY
Hispanic,2014,62615,11864.0,Richmond County, NY
Hispanic,2014,55532,13099.0,Rockland County, NY
Hispanic,2014,84688,80852.0,St. Lawrence County, NY
Hispanic,2014,76132,9054.0,Saratoga County, NY
Hispanic,2014,33045,13845.999999999998,Schenectady County, NY
Hispanic,2014,69606,3509.0,Suffolk County, NY
Hispanic,2014,47224,18038.0,Sullivan County, NY
Hispanic,2014,38648,16469.0,Tompkins County, NY
Hispanic,2014,36057,10824.0,Ulster County, NY
Hispanic,2014,55758,30297.0,Wayne County, NY
Hispanic,2014,54860,2473.0,Westchester County, NY
Total,2013,55778,2267.0,Albany County, NY
Total,2013,33009,1597.0,Bronx County, NY
Total,2013,45560,2594.0,Broome County, NY
Total,2013,40362,2751.0,Cattaraugus County, NY
Total,2013,50154,3887.0,Cayuga County, NY
Total,2013,40413,2140.0,Chautauqua County, NY
Total,2013,45237,3751.0,Chemung County, NY
Total,2013,43892,5665.0,Clinton County, NY
Total,2013,70056,4183.0,Dutchess County, NY
Total,2013,51245,1158.0,Erie County, NY
Total,2013,46683,3783.0,Jefferson County, NY
Total,2013,47520,1145.0,Kings County, NY
Total,2013,52061,4206.0,Livingston County, NY
Total,2013,52300,5299.0,Madison County, NY
Total,2013,51665,1167.0,Monroe County, NY
Total,2013,96193,2415.0,Nassau County, NY
Total,2013,72190,2200.0,New York County, NY
Total,2013,46775,2992.0,Niagara County, NY
Total,2013,43702,2971.0,Oneida County, NY
Total,2013,52110,1506.0,Onondaga County, NY
Total,2013,58165,2289.0,Ontario County, NY
Total,2013,68950,2495.0,Orange County, NY
Total,2013,46533,4134.0,Oswego County, NY
Total,2013,93746,6264.0,Putnam County, NY
Total,2013,56599,943.0,Queens County, NY
Total,2013,57438,3638.0,Rensselaer County, NY
Total,2013,69633,3474.0,Richmond County, NY
Total,2013,80942,3050.0,Rockland County, NY
Total,2013,45157,4959.0,St. Lawrence County, NY
Total,2013,70673,4132.0,Saratoga County, NY
Total,2013,54293,3343.0,Schenectady County, NY
Total,2013,47046,3175.0,Steuben County, NY
Total,2013,85439,1792.0,Suffolk County, NY
Total,2013,47805,3858.0,Sullivan County, NY
Total,2013,48516,5182.0,Tompkins County, NY
Total,2013,58429,3682.0,Ulster County, NY
Total,2013,55593,5213.0,Warren County, NY
Total,2013,50242,2692.0,Wayne County, NY
Total,2013,84220,3499.0,Westchester County, NY
White,2013,61472,2773.0,Albany County, NY
White,2013,40649,2380.0,Bronx County, NY
White,2013,47267,3306.0,Broome County, NY
White,2013,41193,2731.0,Cattaraugus County, NY
White,2013,51170,3026.0,Cayuga County, NY
White,2013,40991,2161.0,Chautauqua County, NY
White,2013,46489,3335.0,Chemung County, NY
White,2013,45117,5763.0,Clinton County, NY
White,2013,74573,4782.0,Dutchess County, NY
White,2013,56633,1224.0,Erie County, NY
White,2013,47723,4998.0,Jefferson County, NY
White,2013,57225,1382.0,Kings County, NY
White,2013,51994,4072.0,Livingston County, NY
White,2013,52804,5615.0,Madison County, NY
White,2013,57595,1688.9999999999998,Monroe County, NY
White,2013,100988,1600.0,Nassau County, NY
White,2013,100128,3118.0,New York County, NY
White,2013,47873,3850.0000000000014,Niagara County, NY
White,2013,46080,2963.0,Oneida County, NY
White,2013,56201,2553.0,Onondaga County, NY
White,2013,59592,3123.0,Ontario County, NY
White,2013,72434,3848.0,Orange County, NY
White,2013,46727,4007.0000000000014,Oswego County, NY
White,2013,94706,7413.0,Putnam County, NY
White,2013,58021,2119.0,Queens County, NY
White,2013,59032,3507.0,Rensselaer County, NY
White,2013,73801,3426.0,Richmond County, NY
White,2013,80367,3638.0,Rockland County, NY
White,2013,45607,4819.0,St. Lawrence County, NY
White,2013,70756,4017.0000000000014,Saratoga County, NY
White,2013,59012,3418.0,Schenectady County, NY
White,2013,46495,3099.0,Steuben County, NY
White,2013,88100,2287.0,Suffolk County, NY
White,2013,49099,4108.0,Sullivan County, NY
White,2013,52833,5067.0,Tompkins County, NY
White,2013,59625,4184.0,Ulster County, NY
White,2013,57537,5174.0,Warren County, NY
White,2013,51128,2930.0,Wayne County, NY
White,2013,98542,3676.0,Westchester County, NY
Black,2013,27308,5998.0,Albany County, NY
Black,2013,35095,1474.0,Bronx County, NY
Black,2013,22168,3288.0,Broome County, NY
Black,2013,36975,16284.0,Cayuga County, NY
Black,2013,23750,12223.0,Chautauqua County, NY
Black,2013,21568,14086.0,Chemung County, NY
Black,2013,53096,13887.0,Dutchess County, NY
Black,2013,24872,2875.0,Erie County, NY
Black,2013,42894,25153.0,Jefferson County, NY
Black,2013,40747,1084.0,Kings County, NY
Black,2013,28012,2741.0,Monroe County, NY
Black,2013,75382,6992.000000000001,Nassau County, NY
Black,2013,30300,3412.0,New York County, NY
Black,2013,35204,8432.0,Niagara County, NY
Black,2013,27181,8300.0,Oneida County, NY
Black,2013,27759,3783.0,Onondaga County, NY
Black,2013,28295,10237.0,Ontario County, NY
Black,2013,57345,19063.0,Orange County, NY
Black,2013,108326,91724.0,Putnam County, NY
Black,2013,56565,1797.9999999999998,Queens County, NY
Black,2013,26104,14303.999999999998,Rensselaer County, NY
Black,2013,44190,19964.0,Richmond County, NY
Black,2013,81015,9405.0,Rockland County, NY
Black,2013,23926,9304.0,Schenectady County, NY
Black,2013,97679,21889.0,Steuben County, NY
Black,2013,65265,7381.000000000001,Suffolk County, NY
Black,2013,31285,7221.0,Sullivan County, NY
Black,2013,66041,41592.0,Tompkins County, NY
Black,2013,44167,26797.0,Ulster County, NY
Black,2013,26882,6550.0,Warren County, NY
Black,2013,30243,13260.0,Wayne County, NY
Black,2013,51623,6596.0,Westchester County, NY
Native American,2013,53571,25725.0,Albany County, NY
Native American,2013,28452,19422.0,Bronx County, NY
Native American,2013,33614,12909.0,Cattaraugus County, NY
Native American,2013,17333,15683.0,Cayuga County, NY
Native American,2013,73544,49073.0,Chautauqua County, NY
Native American,2013,28683,7771.0,Chemung County, NY
Native American,2013,21257,5587.0,Erie County, NY
Native American,2013,41730,14067.0,Jefferson County, NY
Native American,2013,35244,11675.0,Kings County, NY
Native American,2013,36633,16305.0,Madison County, NY
Native American,2013,26585,16695.0,Monroe County, NY
Native American,2013,96192,37804.0,Nassau County, NY
Native American,2013,30754,10709.0,New York County, NY
Native American,2013,33019,22345.0,Niagara County, NY
Native American,2013,48843,39394.0,Putnam County, NY
Native American,2013,47628,22433.0,Queens County, NY
Native American,2013,65181,28226.0,Rockland County, NY
Native American,2013,49516,41660.0,Steuben County, NY
Native American,2013,70990,25138.0,Sullivan County, NY
Native American,2013,73695,31694.0,Westchester County, NY
Asian,2013,51351,18269.0,Albany County, NY
Asian,2013,44462,9972.0,Bronx County, NY
Asian,2013,27237,16784.0,Cattaraugus County, NY
Asian,2013,31045,10326.0,Chautauqua County, NY
Asian,2013,86512,35752.0,Dutchess County, NY
Asian,2013,62993,23862.0,Erie County, NY
Asian,2013,34706,1837.0,Jefferson County, NY
Asian,2013,45623,3860.0000000000014,Kings County, NY
Asian,2013,49653,4367.0,Monroe County, NY
Asian,2013,111051,9024.0,Nassau County, NY
Asian,2013,76409,11228.0,New York County, NY
Asian,2013,52299,42676.0,Niagara County, NY
Asian,2013,41569,22103.0,Oneida County, NY
Asian,2013,43850,10686.0,Onondaga County, NY
Asian,2013,91736,40615.0,Orange County, NY
Asian,2013,127784,41204.0,Putnam County, NY
Asian,2013,57852,2759.0,Queens County, NY
Asian,2013,80356,19352.0,Richmond County, NY
Asian,2013,122589,23220.0,Rockland County, NY
Asian,2013,93514,35031.0,Saratoga County, NY
Asian,2013,46891,31476.0,Schenectady County, NY
Asian,2013,86969,41053.0,Steuben County, NY
Asian,2013,94243,12373.0,Suffolk County, NY
Asian,2013,69078,43821.0,Sullivan County, NY
Asian,2013,28519,14472.0,Tompkins County, NY
Asian,2013,71360,6332.0,Ulster County, NY
Asian,2013,111598,15985.0,Westchester County, NY
Pacific Islander,2013,31337,15374.0,Queens County, NY
Other,2013,21325,18397.0,Albany County, NY
Other,2013,28699,1709.0,Bronx County, NY
Other,2013,65714,33801.0,Dutchess County, NY
Other,2013,22969,3150.0,Erie County, NY
Other,2013,57473,45267.0,Jefferson County, NY
Other,2013,33641,3974.0,Kings County, NY
Other,2013,73486,70505.0,Livingston County, NY
Other,2013,24311,5664.0,Monroe County, NY
Other,2013,65618,10832.0,Nassau County, NY
Other,2013,29627,2967.0,New York County, NY
Other,2013,23266,15818.0,Oneida County, NY
Other,2013,16594,7869.0,Onondaga County, NY
Other,2013,50917,9722.0,Orange County, NY
Other,2013,50349,29461.0,Putnam County, NY
Other,2013,48012,3346.0,Queens County, NY
Other,2013,88098,24995.0,Rensselaer County, NY
Other,2013,36259,13271.0,Richmond County, NY
Other,2013,40584,11406.0,Rockland County, NY
Other,2013,43523,23353.0,Schenectady County, NY
Other,2013,65121,12503.0,Suffolk County, NY
Other,2013,36053,22454.0,Sullivan County, NY
Other,2013,51503,3327.0,Westchester County, NY
Two Or More,2013,78738,38311.0,Albany County, NY
Two Or More,2013,32975,10639.0,Bronx County, NY
Two Or More,2013,25000,4963.0,Cattaraugus County, NY
Two Or More,2013,47800,42372.0,Chautauqua County, NY
Two Or More,2013,28759,22394.0,Chemung County, NY
Two Or More,2013,14847,12035.0,Clinton County, NY
Two Or More,2013,59402,8374.0,Dutchess County, NY
Two Or More,2013,27153,13541.000000000002,Erie County, NY
Two Or More,2013,52580,9405.0,Kings County, NY
Two Or More,2013,16712,14353.999999999998,Livingston County, NY
Two Or More,2013,28775,14488.000000000002,Monroe County, NY
Two Or More,2013,62559,13150.0,Nassau County, NY
Two Or More,2013,48769,7940.0,New York County, NY
Two Or More,2013,21941,7221.999999999999,Oneida County, NY
Two Or More,2013,40049,15215.000000000002,Onondaga County, NY
Two Or More,2013,41688,30794.0,Orange County, NY
Two Or More,2013,43438,31139.000000000004,Oswego County, NY
Two Or More,2013,66368,9981.0,Queens County, NY
Two Or More,2013,59776,25273.0,Rensselaer County, NY
Two Or More,2013,63842,19057.0,Richmond County, NY
Two Or More,2013,70982,32158.0,Rockland County, NY
Two Or More,2013,31135,12562.0,St. Lawrence County, NY
Two Or More,2013,42137,36855.0,Saratoga County, NY
Two Or More,2013,63698,21928.0,Schenectady County, NY
Two Or More,2013,58013,11996.0,Suffolk County, NY
Two Or More,2013,53263,27281.000000000004,Sullivan County, NY
Two Or More,2013,26903,7747.0,Tompkins County, NY
Two Or More,2013,39085,30679.0,Warren County, NY
Two Or More,2013,50731,9726.0,Wayne County, NY
Two Or More,2013,66548,33200.0,Westchester County, NY
White Non-Hispanic,2013,63060,3131.0,Albany County, NY
White Non-Hispanic,2013,59297,5176.0,Bronx County, NY
White Non-Hispanic,2013,47526,3453.9999999999995,Broome County, NY
White Non-Hispanic,2013,41378,2724.0,Cattaraugus County, NY
White Non-Hispanic,2013,51181,3067.0,Cayuga County, NY
White Non-Hispanic,2013,41964,2425.0,Chautauqua County, NY
White Non-Hispanic,2013,46916,3393.9999999999995,Chemung County, NY
White Non-Hispanic,2013,44486,5687.0,Clinton County, NY
White Non-Hispanic,2013,76963,4526.0,Dutchess County, NY
White Non-Hispanic,2013,56912,1248.0,Erie County, NY
White Non-Hispanic,2013,47445,4935.0,Jefferson County, NY
White Non-Hispanic,2013,61483,1346.0,Kings County, NY
White Non-Hispanic,2013,52277,4553.0,Livingston County, NY
White Non-Hispanic,2013,52671,5624.0,Madison County, NY
White Non-Hispanic,2013,58701,1701.9999999999998,Monroe County, NY
White Non-Hispanic,2013,101974,1879.0,Nassau County, NY
White Non-Hispanic,2013,107436,5511.0,New York County, NY
White Non-Hispanic,2013,47964,3868.0,Niagara County, NY
White Non-Hispanic,2013,46891,2702.0,Oneida County, NY
White Non-Hispanic,2013,56558,2617.0,Onondaga County, NY
White Non-Hispanic,2013,59974,3720.0,Ontario County, NY
White Non-Hispanic,2013,72866,3994.0,Orange County, NY
White Non-Hispanic,2013,47040,4022.0000000000014,Oswego County, NY
White Non-Hispanic,2013,94805,7986.0,Putnam County, NY
White Non-Hispanic,2013,61902,1442.0,Queens County, NY
White Non-Hispanic,2013,59815,3868.0,Rensselaer County, NY
White Non-Hispanic,2013,75909,2751.0,Richmond County, NY
White Non-Hispanic,2013,80405,3685.0,Rockland County, NY
White Non-Hispanic,2013,45735,4697.0,St. Lawrence County, NY
White Non-Hispanic,2013,70598,4072.0,Saratoga County, NY
White Non-Hispanic,2013,60382,3538.0,Schenectady County, NY
White Non-Hispanic,2013,46432,3101.0,Steuben County, NY
White Non-Hispanic,2013,89687,2302.0,Suffolk County, NY
White Non-Hispanic,2013,50038,3570.9999999999995,Sullivan County, NY
White Non-Hispanic,2013,53524,4761.0,Tompkins County, NY
White Non-Hispanic,2013,59981,4357.0,Ulster County, NY
White Non-Hispanic,2013,57726,5036.0,Warren County, NY
White Non-Hispanic,2013,51528,3096.0,Wayne County, NY
White Non-Hispanic,2013,102444,3760.0,Westchester County, NY
Hispanic,2013,32289,11890.0,Albany County, NY
Hispanic,2013,28484,1509.0,Bronx County, NY
Hispanic,2013,25596,6616.0,Broome County, NY
Hispanic,2013,27188,14258.000000000002,Cattaraugus County, NY
Hispanic,2013,27247,8516.0,Chautauqua County, NY
Hispanic,2013,32641,21781.0,Chemung County, NY
Hispanic,2013,111613,90765.0,Clinton County, NY
Hispanic,2013,41543,13121.0,Dutchess County, NY
Hispanic,2013,27440,7004.0,Erie County, NY
Hispanic,2013,41564,19825.0,Jefferson County, NY
Hispanic,2013,36730,1895.0,Kings County, NY
Hispanic,2013,18637,11342.0,Livingston County, NY
Hispanic,2013,26047,2458.0,Monroe County, NY
Hispanic,2013,70421,6420.0,Nassau County, NY
Hispanic,2013,32401,1851.0,New York County, NY
Hispanic,2013,21142,5566.0,Oneida County, NY
Hispanic,2013,26893,12609.0,Onondaga County, NY
Hispanic,2013,16699,12477.0,Ontario County, NY
Hispanic,2013,62166,10792.0,Orange County, NY
Hispanic,2013,27089,15792.0,Oswego County, NY
Hispanic,2013,78352,35558.0,Putnam County, NY
Hispanic,2013,50072,1985.0,Queens County, NY
Hispanic,2013,28729,24420.0,Rensselaer County, NY
Hispanic,2013,51578,8910.0,Richmond County, NY
Hispanic,2013,61674,15093.0,Rockland County, NY
Hispanic,2013,81048,49589.0,Saratoga County, NY
Hispanic,2013,18695,11945.0,Schenectady County, NY
Hispanic,2013,69876,9517.0,Suffolk County, NY
Hispanic,2013,32392,11238.0,Sullivan County, NY
Hispanic,2013,25847,6356.0,Tompkins County, NY
Hispanic,2013,45037,28859.0,Ulster County, NY
Hispanic,2013,37361,29732.0,Warren County, NY
Hispanic,2013,40253,22919.0,Wayne County, NY
Hispanic,2013,53423,6260.0,Westchester County, NY
