Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Total,2018,56704,5379.0,Clinton County, NY
Total,2018,80227,3395.0000000000005,Dutchess County, NY
Total,2018,56369,1036.0,Erie County, NY
Total,2018,53146,2976.0,Jefferson County, NY
Total,2018,61220,1083.0,Kings County, NY
Total,2018,61609,5259.0,Livingston County, NY
Total,2018,59678,3687.0,Madison County, NY
Total,2018,60222,1616.0,Monroe County, NY
Total,2018,116304,2934.0,Nassau County, NY
Total,2018,85066,3479.9999999999995,New York County, NY
Total,2018,55306,3093.0,Niagara County, NY
Total,2018,54593,2362.0,Oneida County, NY
Total,2018,59883,2300.0,Onondaga County, NY
Total,2018,62522,3413.9999999999995,Ontario County, NY
Total,2018,75825,4078.0000000000014,Orange County, NY
Total,2018,54264,3739.0000000000014,Oswego County, NY
Total,2018,102525,9059.0,Putnam County, NY
Total,2018,69320,1781.0000000000002,Queens County, NY
Total,2018,71648,2014.0,Rensselaer County, NY
Total,2018,82166,5148.0,Richmond County, NY
Total,2018,89812,4056.0,Rockland County, NY
Total,2018,49681,3193.0,St. Lawrence County, NY
Total,2018,83765,4232.0,Saratoga County, NY
Total,2018,64847,5147.0,Schenectady County, NY
Total,2018,55569,3106.0,Steuben County, NY
Total,2018,100468,1777.0,Suffolk County, NY
Total,2018,52274,6570.0,Sullivan County, NY
Total,2018,57276,5532.0,Tompkins County, NY
Total,2018,63889,4118.0,Ulster County, NY
Total,2018,56482,3144.0,Warren County, NY
Total,2018,61515,3238.0,Wayne County, NY
Total,2018,94811,3474.0,Westchester County, NY
White,2018,72570,4727.0,Albany County, NY
White,2018,43179,3609.0,Bronx County, NY
White,2018,52313,3971.0,Broome County, NY
White,2018,49413,2974.0,Cattaraugus County, NY
White,2018,52929,4630.0,Cayuga County, NY
White,2018,46891,2820.0,Chautauqua County, NY
White,2018,56387,4220.0,Chemung County, NY
White,2018,57241,5794.0,Clinton County, NY
White,2018,82207,3802.0,Dutchess County, NY
White,2018,62676,1768.0000000000002,Erie County, NY
