ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
4,"Asian",2019,"2019",53864,20416,"Onondaga County, NY","05000US36067","onondaga-county-ny"
4,"Asian",2019,"2019",161189,66744,"Ontario County, NY","05000US36069","ontario-county-ny"
4,"Asian",2019,"2019",106036,43567,"Orange County, NY","05000US36071","orange-county-ny"
4,"Asian",2019,"2019",72727,68667,"Oswego County, NY","05000US36075","oswego-county-ny"
4,"Asian",2019,"2019",131485,67909,"Putnam County, NY","05000US36079","putnam-county-ny"
4,"Asian",2019,"2019",70849,1669,"Queens County, NY","05000US36081","queens-county-ny"
4,"Asian",2019,"2019",100114,17212,"Rensselaer County, NY","05000US36083","rensselaer-county-ny"
4,"Asian",2019,"2019",74787,11508,"Richmond County, NY","05000US36085","richmond-county-ny"
4,"Asian",2019,"2019",151224,21004,"Rockland County, NY","05000US36087","rockland-county-ny"
4,"Asian",2019,"2019",120804,8621,"Saratoga County, NY","05000US36091","saratoga-county-ny"
4,"Asian",2019,"2019",54456,36856,"Schenectady County, NY","05000US36093","schenectady-county-ny"
4,"Asian",2019,"2019",131029,13221,"Steuben County, NY","05000US36101","steuben-county-ny"
4,"Asian",2019,"2019",106959,17093,"Suffolk County, NY","05000US36103","suffolk-county-ny"
4,"Asian",2019,"2019",43343,21009,"Tompkins County, NY","05000US36109","tompkins-county-ny"
4,"Asian",2019,"2019",106096,23196,"Ulster County, NY","05000US36111","ulster-county-ny"
4,"Asian",2019,"2019",39216,13348,"Warren County, NY","05000US36113","warren-county-ny"
4,"Asian",2019,"2019",48111,33822,"Wayne County, NY","05000US36117","wayne-county-ny"
4,"Asian",2019,"2019",150456,12374,"Westchester County, NY","05000US36119","westchester-county-ny"
5,"Pacific Islander",2019,"2019",51332,278,"Onondaga County, NY","05000US36067","onondaga-county-ny"
6,"Other",2019,"2019",58925,56159,"Albany County, NY","05000US36001","albany-county-ny"
6,"Other",2019,"2019",35770,2633,"Bronx County, NY","05000US36005","bronx-county-ny"
6,"Other",2019,"2019",63297,41836,"Cattaraugus County, NY","05000US36009","cattaraugus-county-ny"
6,"Other",2019,"2019",79354,60578,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
6,"Other",2019,"2019",93007,40928,"Dutchess County, NY","05000US36027","dutchess-county-ny"
6,"Other",2019,"2019",25722,7970,"Erie County, NY","05000US36029","erie-county-ny"
6,"Other",2019,"2019",44374,3412,"Kings County, NY","05000US36047","kings-county-ny"
6,"Other",2019,"2019",32444,9591,"Monroe County, NY","05000US36055","monroe-county-ny"
6,"Other",2019,"2019",94729,11615,"Nassau County, NY","05000US36059","nassau-county-ny"
6,"Other",2019,"2019",36963,4040,"New York County, NY","05000US36061","new-york-county-ny"
6,"Other",2019,"2019",46326,42997,"Oneida County, NY","05000US36065","oneida-county-ny"
6,"Other",2019,"2019",35502,10107,"Onondaga County, NY","05000US36067","onondaga-county-ny"
6,"Other",2019,"2019",75273,22459,"Orange County, NY","05000US36071","orange-county-ny"
6,"Other",2019,"2019",95028,15255.999999999998,"Putnam County, NY","05000US36079","putnam-county-ny"
6,"Other",2019,"2019",63370,3711.9999999999995,"Queens County, NY","05000US36081","queens-county-ny"
6,"Other",2019,"2019",27970,12383,"Rensselaer County, NY","05000US36083","rensselaer-county-ny"
6,"Other",2019,"2019",50357,10067,"Richmond County, NY","05000US36085","richmond-county-ny"
6,"Other",2019,"2019",54777,13595.000000000002,"Rockland County, NY","05000US36087","rockland-county-ny"
6,"Other",2019,"2019",40932,19904,"Schenectady County, NY","05000US36093","schenectady-county-ny"
6,"Other",2019,"2019",91243,23409,"Suffolk County, NY","05000US36103","suffolk-county-ny"
6,"Other",2019,"2019",61135,3381,"Sullivan County, NY","05000US36105","sullivan-county-ny"
6,"Other",2019,"2019",41935,40525,"Tompkins County, NY","05000US36109","tompkins-county-ny"
6,"Other",2019,"2019",65228,12319,"Ulster County, NY","05000US36111","ulster-county-ny"
6,"Other",2019,"2019",34077,9798,"Wayne County, NY","05000US36117","wayne-county-ny"
6,"Other",2019,"2019",60029,11663,"Westchester County, NY","05000US36119","westchester-county-ny"
7,"Two Or More",2019,"2019",40161,27477,"Albany County, NY","05000US36001","albany-county-ny"
7,"Two Or More",2019,"2019",42038,4950,"Bronx County, NY","05000US36005","bronx-county-ny"
7,"Two Or More",2019,"2019",27640,16887,"Broome County, NY","05000US36007","broome-county-ny"
7,"Two Or More",2019,"2019",76042,20466,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
7,"Two Or More",2019,"2019",67896,62841,"Chemung County, NY","05000US36015","chemung-county-ny"
7,"Two Or More",2019,"2019",65897,18189,"Clinton County, NY","05000US36019","clinton-county-ny"
7,"Two Or More",2019,"2019",120588,120777.00000000001,"Dutchess County, NY","05000US36027","dutchess-county-ny"
7,"Two Or More",2019,"2019",47243,11263,"Erie County, NY","05000US36029","erie-county-ny"
7,"Two Or More",2019,"2019",73630,8968,"Kings County, NY","05000US36047","kings-county-ny"
