COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
109,Saguache County, Colorado,6389,2016-07-01
111,San Juan County, Colorado,694,2016-07-01
113,San Miguel County, Colorado,8017,2016-07-01
115,Sedgwick County, Colorado,2407,2016-07-01
117,Summit County, Colorado,30374,2016-07-01
119,Teller County, Colorado,24043,2016-07-01
121,Washington County, Colorado,4908,2016-07-01
123,Weld County, Colorado,294932,2016-07-01
125,Yuma County, Colorado,10103,2016-07-01
001,Fairfield County, Connecticut,944177,2016-07-01
117,Seminole County, Florida,455479,2016-07-01
119,Sumter County, Florida,123996,2016-07-01
121,Suwannee County, Florida,43794,2016-07-01
123,Taylor County, Florida,22175,2016-07-01
125,Union County, Florida,15142,2016-07-01
127,Volusia County, Florida,529364,2016-07-01
129,Wakulla County, Florida,31893,2016-07-01
035,Flagler County, Florida,108310,2016-07-01
037,Franklin County, Florida,11901,2016-07-01
039,Gadsden County, Florida,46006,2016-07-01
041,Gilchrist County, Florida,17212,2016-07-01
043,Glades County, Florida,13970,2016-07-01
045,Gulf County, Florida,15990,2016-07-01
047,Hamilton County, Florida,14361,2016-07-01
049,Hardee County, Florida,27360,2016-07-01
051,Hendry County, Florida,39290,2016-07-01
053,Hernando County, Florida,182835,2016-07-01
055,Highlands County, Florida,100917,2016-07-01
057,Hillsborough County, Florida,1376238,2016-07-01
059,Holmes County, Florida,19487,2016-07-01
061,Indian River County, Florida,151563,2016-07-01
063,Jackson County, Florida,48229,2016-07-01
065,Jefferson County, Florida,13906,2016-07-01
067,Lafayette County, Florida,8617,2016-07-01
069,Lake County, Florida,335396,2016-07-01
071,Lee County, Florida,722336,2016-07-01
073,Leon County, Florida,287822,2016-07-01
075,Levy County, Florida,39961,2016-07-01
077,Liberty County, Florida,8202,2016-07-01
079,Madison County, Florida,18224,2016-07-01
081,Manatee County, Florida,375888,2016-07-01
083,Marion County, Florida,349020,2016-07-01
085,Martin County, Florida,158701,2016-07-01
086,Miami-Dade County, Florida,2712945,2016-07-01
087,Monroe County, Florida,79077,2016-07-01
089,Nassau County, Florida,80622,2016-07-01
091,Okaloosa County, Florida,201170,2016-07-01
093,Okeechobee County, Florida,40314,2016-07-01
095,Orange County, Florida,1314367,2016-07-01
097,Osceola County, Florida,336015,2016-07-01
099,Palm Beach County, Florida,1443810,2016-07-01
101,Pasco County, Florida,512368,2016-07-01
103,Pinellas County, Florida,960730,2016-07-01
105,Polk County, Florida,666149,2016-07-01
107,Putnam County, Florida,72277,2016-07-01
109,St. Johns County, Florida,235087,2016-07-01
111,St. Lucie County, Florida,306507,2016-07-01
113,Santa Rosa County, Florida,170497,2016-07-01
115,Sarasota County, Florida,412569,2016-07-01
055,Chattooga County, Georgia,24824,2016-07-01
057,Cherokee County, Georgia,241689,2016-07-01
059,Clarke County, Georgia,124707,2016-07-01
061,Clay County, Georgia,3020,2016-07-01
063,Clayton County, Georgia,279462,2016-07-01
065,Clinch County, Georgia,6829,2016-07-01
067,Cobb County, Georgia,748150,2016-07-01
069,Coffee County, Georgia,43012,2016-07-01
071,Colquitt County, Georgia,45708,2016-07-01
073,Columbia County, Georgia,147450,2016-07-01
