COUNTY,STATE,POPULATION,DATE
Wayne County, Georgia,30104,2016-07-01
Webster County, Georgia,2599,2016-07-01
Wheeler County, Georgia,7978,2016-07-01
White County, Georgia,28884,2016-07-01
Whitfield County, Georgia,104589,2016-07-01
Wilcox County, Georgia,8761,2016-07-01
Wilkes County, Georgia,9805,2016-07-01
Wilkinson County, Georgia,9104,2016-07-01
Montgomery County, Georgia,9060,2016-07-01
Morgan County, Georgia,18170,2016-07-01
Murray County, Georgia,39315,2016-07-01
Muscogee County, Georgia,197485,2016-07-01
Newton County, Georgia,106999,2016-07-01
Oconee County, Georgia,36838,2016-07-01
Oglethorpe County, Georgia,14921,2016-07-01
Paulding County, Georgia,155825,2016-07-01
Peach County, Georgia,26655,2016-07-01
Pickens County, Georgia,30832,2016-07-01
Pierce County, Georgia,19171,2016-07-01
Pike County, Georgia,17941,2016-07-01
Polk County, Georgia,41776,2016-07-01
Pulaski County, Georgia,11251,2016-07-01
Putnam County, Georgia,21477,2016-07-01
Quitman County, Georgia,2335,2016-07-01
Rabun County, Georgia,16559,2016-07-01
Randolph County, Georgia,7177,2016-07-01
Richmond County, Georgia,201647,2016-07-01
Rockdale County, Georgia,89355,2016-07-01
Schley County, Georgia,5098,2016-07-01
Screven County, Georgia,14044,2016-07-01
Seminole County, Georgia,8468,2016-07-01
Spalding County, Georgia,64806,2016-07-01
Stephens County, Georgia,25751,2016-07-01
Stewart County, Georgia,5705,2016-07-01
Sumter County, Georgia,30389,2016-07-01
Talbot County, Georgia,6171,2016-07-01
Payette County, Idaho,23026,2016-07-01
Power County, Idaho,7654,2016-07-01
Shoshone County, Idaho,12452,2016-07-01
Teton County, Idaho,10960,2016-07-01
Twin Falls County, Idaho,83514,2016-07-01
Valley County, Idaho,10496,2016-07-01
Washington County, Idaho,10172,2016-07-01
Worth County, Georgia,20748,2016-07-01
Hawaii County, Hawaii,198449,2016-07-01
Honolulu County, Hawaii,992605,2016-07-01
Kalawao County, Hawaii,88,2016-07-01
Kauai County, Hawaii,72029,2016-07-01
Maui County, Hawaii,165386,2016-07-01
Ada County, Idaho,444028,2016-07-01
Adams County, Idaho,3900,2016-07-01
Bannock County, Idaho,84377,2016-07-01
Bear Lake County, Idaho,5945,2016-07-01
Benewah County, Idaho,9092,2016-07-01
Bingham County, Idaho,45201,2016-07-01
Blaine County, Idaho,21791,2016-07-01
Boise County, Idaho,7124,2016-07-01
Bonner County, Idaho,42536,2016-07-01
Bonneville County, Idaho,112232,2016-07-01
Boundary County, Idaho,11681,2016-07-01
Butte County, Idaho,2501,2016-07-01
Camas County, Idaho,1072,2016-07-01
Canyon County, Idaho,211698,2016-07-01
Caribou County, Idaho,6887,2016-07-01
Cassia County, Idaho,23504,2016-07-01
Clark County, Idaho,860,2016-07-01
Clearwater County, Idaho,8497,2016-07-01
Custer County, Idaho,4096,2016-07-01
Elmore County, Idaho,26018,2016-07-01
Franklin County, Idaho,13406,2016-07-01
Fremont County, Idaho,12943,2016-07-01
Gem County, Idaho,17184,2016-07-01
Gooding County, Idaho,15185,2016-07-01
Idaho County, Idaho,16156,2016-07-01
Jefferson County, Idaho,27839,2016-07-01
Jerome County, Idaho,22994,2016-07-01
Kootenai County, Idaho,154311,2016-07-01
Latah County, Idaho,39196,2016-07-01
Lemhi County, Idaho,7723,2016-07-01
Lewis County, Idaho,3853,2016-07-01
Lincoln County, Idaho,5271,2016-07-01
Madison County, Idaho,39048,2016-07-01
Minidoka County, Idaho,20616,2016-07-01
Nez Perce County, Idaho,40369,2016-07-01
Oneida County, Idaho,4343,2016-07-01
Owyhee County, Idaho,11389,2016-07-01
Franklin County, Illinois,39156,2016-07-01
Fulton County, Illinois,35536,2016-07-01
Gallatin County, Illinois,5212,2016-07-01
Greene County, Illinois,13093,2016-07-01
Grundy County, Illinois,50437,2016-07-01
Hamilton County, Illinois,8061,2016-07-01
Hancock County, Illinois,18508,2016-07-01
Hardin County, Illinois,4024,2016-07-01
Henderson County, Illinois,6869,2016-07-01
Henry County, Illinois,49280,2016-07-01
Iroquois County, Illinois,28334,2016-07-01
Jackson County, Illinois,58870,2016-07-01
Jasper County, Illinois,9536,2016-07-01
Jefferson County, Illinois,38460,2016-07-01
Jersey County, Illinois,22025,2016-07-01
Jo Daviess County, Illinois,21770,2016-07-01
Johnson County, Illinois,12902,2016-07-01
Kane County, Illinois,531715,2016-07-01
Kankakee County, Illinois,110008,2016-07-01
Kendall County, Illinois,124695,2016-07-01
Knox County, Illinois,50938,2016-07-01
Lake County, Illinois,703047,2016-07-01
LaSalle County, Illinois,110642,2016-07-01
Lawrence County, Illinois,16377,2016-07-01
Lee County, Illinois,34251,2016-07-01
Livingston County, Illinois,36526,2016-07-01
