Year,Race_ID,County_ID,Household_Income,Household_Income_MOE
2016,4,13,19228,9941.0
2013,4,13,31045,10326.0
2018,4,15,113044,79154.0
2017,4,15,158427,85638.0
2016,4,15,110325,36182.0
2015,4,15,74825,15408.0
2014,4,15,250001,
2018,4,19,55671,24696.0
2015,4,19,32841,11559.0
2014,4,19,2499,
2019,4,27,123490,24220.0
2018,4,27,148832,27388.0
2017,4,27,120627,13959.000000000002
2016,4,27,116198,18547.0
2015,4,27,107415,22620.0
2014,4,27,99878,25754.0
2013,4,27,86512,35752.0
2019,4,29,44094,10049.0
2018,4,29,52083,8227.0
2017,4,29,46757,7016.0
2016,4,29,46849,16858.0
2015,4,29,43414,13740.000000000002
2014,4,29,46468,9374.0
2013,4,29,62993,23862.0
2019,4,45,60943,45664.0
2014,4,45,44146,34040.0
2013,4,45,34706,1837.0
2019,4,47,71803,4639.0
2018,4,47,68714,4492.0
2017,4,47,59425,5061.0
2016,4,47,60832,4004.0
2015,4,47,54830,3565.0
2014,4,47,50217,2328.0
2013,4,47,45623,3860.0000000000014
2019,4,51,250001,
2017,4,51,87733,2102.0
2018,4,53,112423,74251.0
2017,4,53,88900,77622.0
2014,4,53,77192,46373.0
2019,4,55,69926,24431.0
2018,4,55,70431,18464.0
2017,4,55,66957,11269.0
2016,4,55,56184,21099.0
2015,4,55,57342,14164.000000000002
2014,4,55,57438,16790.0
2013,4,55,49653,4367.0
2019,4,59,141801,10309.0
2018,4,59,135834,8025.0
2017,4,59,130804,4896.0
2016,4,59,131321,8392.0
2015,4,59,127712,10635.0
2014,4,59,118316,9240.0
2013,4,59,111051,9024.0
2019,4,61,101183,4835.0
2018,4,61,82107,9783.0
2017,4,61,76766,12219.0
2016,4,61,75588,7266.999999999999
2015,4,61,72832,7503.000000000001
2014,4,61,72329,8093.0
2013,4,61,76409,11228.0
2019,4,63,69321,68759.0
2018,4,63,77865,54948.0
2017,4,63,25813,25592.0
2015,4,63,81300,36551.0
2014,4,63,36250,11197.0
2013,4,63,52299,42676.0
2019,4,65,39821,16781.0
2018,4,65,54186,15787.0
2017,4,65,28489,8654.0
2016,4,65,42702,21121.0
2015,4,65,40868,15185.0
2014,4,65,30524,7575.999999999999
2013,4,65,41569,22103.0
2019,4,67,53864,20416.0
2018,4,67,52125,11408.0
2017,4,67,40540,10402.0
2016,4,67,50311,11230.0
2015,4,67,47117,19429.0
2014,4,67,28188,11834.0
2013,4,67,43850,10686.0
2019,4,69,161189,66744.0
2016,4,69,235254,206589.0
2015,4,69,101289,101619.0
2019,4,71,106036,43567.0
2018,4,71,101339,55259.0
2017,4,71,76826,55890.99999999999
2016,4,71,65669,36313.0
2015,4,71,118919,34776.0
2014,4,71,68654,33631.0
2013,4,71,91736,40615.0
2019,4,75,72727,68667.0
2018,4,75,59154,48663.0
2017,4,75,250001,
2016,4,75,210915,208938.0
2015,4,75,36190,21621.0
2014,4,75,66750,10176.0
2019,4,79,131485,67909.0
2018,4,79,96371,84682.0
2017,4,79,118447,57661.00000000001
2013,4,79,127784,41204.0
2019,4,81,70849,1669.0
2018,4,81,65665,2451.0
2017,4,81,61242,1288.0
2016,4,81,55600,3210.0
2015,4,81,58040,2807.0
2014,4,81,55129,2383.0
2013,4,81,57852,2759.0
2019,4,83,100114,17212.0
2018,4,83,70670,26421.0
2017,4,83,70392,38217.0
2016,4,83,45195,23645.0
2015,4,83,48229,41366.0
2014,4,83,63122,23246.0
2019,4,85,74787,11508.0
2018,4,85,90358,12338.0
2017,4,85,78811,8502.0
2016,4,85,99854,5764.0
2015,4,85,71398,10349.0
2014,4,85,57224,14622.000000000002
2013,4,85,80356,19352.0
2019,4,87,151224,21004.0
2018,4,87,117572,6837.0
2017,4,87,140163,32553.0
2016,4,87,132492,31851.0
2015,4,87,106503,15113.0
2014,4,87,110506,11759.0
2013,4,87,122589,23220.0
2017,4,89,85208,33201.0
2015,4,89,51369,14742.000000000002
2014,4,89,23915,10262.0
2019,4,91,120804,8621.0
2018,4,91,104526,45033.0
2017,4,91,101696,5181.0
2016,4,91,111031,38061.0
2015,4,91,101085,18710.0
2014,4,91,90407,21411.0
2013,4,91,93514,35031.0
2019,4,93,54456,36856.0
2018,4,93,66533,30089.0
2017,4,93,60602,37212.0
2016,4,93,39792,36656.0
2015,4,93,94828,54617.0
2014,4,93,74535,23952.0
2013,4,93,46891,31476.0
2019,4,101,131029,13221.0
2018,4,101,46761,46868.0
2016,4,101,122575,111230.0
2015,4,101,133091,25578.0
2014,4,101,86946,10026.0
2013,4,101,86969,41053.0
2019,4,103,106959,17093.0
2018,4,103,103739,7515.0
2017,4,103,100437,13929.999999999998
2016,4,103,123621,13433.0
2015,4,103,95590,14636.0
2014,4,103,94798,23283.0
2013,4,103,94243,12373.0
2018,4,105,97061,78561.0
2017,4,105,125813,80087.0
2015,4,105,58097,28867.0
2014,4,105,250001,
2013,4,105,69078,43821.0
2019,4,109,43343,21009.0
2018,4,109,36451,17144.0
2017,4,109,31088,9046.0
2016,4,109,30419,9954.0
2015,4,109,58394,21888.0
2014,4,109,26661,8782.0
2013,4,109,28519,14472.0
2019,4,111,106096,23196.0
2018,4,111,53236,23949.0
2017,4,111,80000,50407.0
2015,4,111,48853,37736.0
2013,4,111,71360,6332.0
2019,4,113,39216,13348.0
2015,4,113,66019,65585.0
2019,4,117,48111,33822.0
2018,4,117,76589,40339.0
2017,4,117,250001,
2019,4,119,150456,12374.0
2018,4,119,126519,12244.0
2017,4,119,140465,13457.0
2016,4,119,112428,14595.0
2015,4,119,114637,13033.0
2014,4,119,120102,8073.0
2013,4,119,111598,15985.0
2017,5,5,44886,17008.0
2014,5,5,2499,
2018,5,47,21294,18916.0
2016,5,47,67194,37038.0
2016,5,61,2499,
2019,5,67,51332,278.0
2015,5,81,54075,19376.0
2013,5,81,31337,15374.0
2015,5,119,98554,96221.0
2019,6,1,58925,56159.0
2018,6,1,48810,8743.0
2016,6,1,50223,38119.0
2014,6,1,42603,23714.0
2013,6,1,21325,18397.0
2019,6,5,35770,2633.0
2018,6,5,32853,1674.0
2017,6,5,31160,1571.0
2016,6,5,31508,1437.0
2015,6,5,27293,1852.0
2014,6,5,26141,1458.0
2013,6,5,28699,1709.0
2018,6,7,54200,53872.0
2016,6,7,11894,3793.0
2015,6,7,23134,2719.0
2019,6,9,63297,41836.0
2018,6,9,32343,6217.0
2015,6,9,44020,29673.000000000004
2018,6,11,30367,30377.0
2017,6,11,18571,14500.0
2015,6,11,23586,12053.0
2014,6,11,95459,56510.99999999999
2019,6,13,79354,60578.0
2018,6,13,23796,1642.0
2015,6,13,44593,20690.0
2014,6,13,23798,23432.0
2018,6,15,18606,6869.0
2017,6,19,2499,
2019,6,27,93007,40928.0
2018,6,27,51266,28387.000000000004
2017,6,27,24525,17203.0
2016,6,27,43271,33681.0
2015,6,27,60959,20120.0
2014,6,27,44253,26868.0
2013,6,27,65714,33801.0
2019,6,29,25722,7970.0
2018,6,29,20769,4398.0
2017,6,29,22766,4472.0
2016,6,29,18929,5114.0
2015,6,29,19360,4036.0
2014,6,29,16559,4923.0
2013,6,29,22969,3150.0
2018,6,45,52443,4425.0
2017,6,45,47866,18703.0
2016,6,45,40634,22316.0
2014,6,45,34286,10301.0
2013,6,45,57473,45267.0
2019,6,47,44374,3412.0
2018,6,47,39528,5499.0
2017,6,47,34005,2874.0
2016,6,47,36177,2451.0
2015,6,47,35734,2903.0
2014,6,47,34635,2941.0
2013,6,47,33641,3974.0
2018,6,51,35489,33241.0
2016,6,51,70723,68161.0
2013,6,51,73486,70505.0
2019,6,55,32444,9591.0
2018,6,55,32258,12064.0
2017,6,55,28108,8952.0
2016,6,55,31163,9361.0
2015,6,55,28328,5989.0
2014,6,55,24834,18667.0
2013,6,55,24311,5664.0
2019,6,59,94729,11615.0
2018,6,59,67484,15458.0
2017,6,59,74541,12364.0
2016,6,59,66506,8512.0
2015,6,59,60102,4210.0
2014,6,59,51325,7774.999999999999
2013,6,59,65618,10832.0
2019,6,61,36963,4040.0
2018,6,61,31206,5798.0
2017,6,61,35669,3195.0
2016,6,61,32284,3608.0
2015,6,61,31360,4180.0
2014,6,61,35402,3197.0
2013,6,61,29627,2967.0
2015,6,63,11848,2048.0
2014,6,63,40282,28929.0
2019,6,65,46326,42997.0
2018,6,65,31535,15732.0
2017,6,65,21096,14819.0
2015,6,65,21250,10124.0
2014,6,65,20101,12131.0
2013,6,65,23266,15818.0
2019,6,67,35502,10107.0
2016,6,67,23125,7856.0
2014,6,67,15041,12449.0
2013,6,67,16594,7869.0
2017,6,69,38915,18182.0
2016,6,69,23620,12644.0
2014,6,69,64038,28066.0
